Camera,Camera_folder,Species,DateTimeOriginal,Date,Sheep,Time,delta.time.secs,Directory,FileName,Classification,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
C03,C03_110420_033121,Bobcat,2/27/2021 20:12,2/26/21,N,20:12:11,126386,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2236.JPG,Bobcat,FALSE,20H 12M 11S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/4/2021 20:27,3/3/21,N,20:27:26,432913,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2332.JPG,Bobcat,FALSE,20H 27M 26S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/12/2021 10:49,3/11/21,N,10:49:09,656502,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2416.JPG,Bobcat,FALSE,10H 49M 9S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/14/2021 3:18,3/13/21,N,3:18:18,145743,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2482.JPG,Bobcat,FALSE,3H 18M 18S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/15/2021 21:33,3/14/21,N,21:33:13,152090,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2497.JPG,Bobcat,TRUE,21H 33M 13S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/17/2021 13:09,3/16/21,N,13:09:50,142596,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2524.JPG,Bobcat,TRUE,13H 9M 50S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/22/2021 6:15,3/21/21,N,6:15:12,407119,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2632.JPG,Bobcat,TRUE,6H 15M 12S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/28/2021 22:24,3/27/21,N,22:24:33,576559,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2776.JPG,Bobcat,TRUE,22H 24M 33S,NA,NA,NA,NA
C03,C03_110420_033121,Bobcat,3/29/2021 20:52,3/28/21,N,20:52:37,80883,Reviewed Phase 4/C03_110420_033121/Bobcat,IMG_2833.JPG,Bobcat,TRUE,20H 52M 37S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,12/20/2019 13:53,12/19/19,N,13:53:00,0,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0028.JPG,Bobcat,FALSE,12H 53M 0S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,12/26/2019 17:16,12/25/19,N,17:16:47,530625,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0049.JPG,Bobcat,FALSE,17H 16M 47S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,12/29/2019 1:50,12/28/19,N,1:50:44,203627,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0103.JPG,Bobcat,FALSE,1H 50M 44S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,1/3/2020 18:54,1/2/20,N,18:54:40,493432,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0160.JPG,Bobcat,FALSE,18H 54M 40S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,1/5/2020 11:06,1/4/20,N,11:06:37,144715,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0169.JPG,Bobcat,FALSE,11H 6M 37S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,1/5/2020 12:21,1/4/20,N,12:21:45,4506,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0172.JPG,Bobcat,FALSE,12H 21M 45S,NA,NA,NA,NA
C03,C03_121719_030720,Bobcat,1/18/2020 17:40,1/17/20,N,17:40:11,1142303,Reviewed Phase 4/C03_121719_030720/Bobcat,IMG_0250.JPG,Bobcat,FALSE,17H 40M 11S,NA,NA,NA,NA
