Camera,Month,Bobcat_RAI,Fire
G11,july.2017,0,N
A03,august.2017,0,N
A13,august.2017,0,N
B02,august.2017,0,N
B04,august.2017,0,N
B06,august.2017,0,N
B08,august.2017,0,N
B10,august.2017,0.03225806,N
B12,august.2017,0,N
B14,august.2017,0,N
C03,august.2017,0,N
C05,august.2017,0,N
C09,august.2017,0,N
C11,august.2017,0,N
C15,august.2017,0.03225806,N
C17,august.2017,0,N
D04,august.2017,0,N
D06,august.2017,0,N
D08,august.2017,0,N
D10,august.2017,0,N
D12,august.2017,0,N
D14,august.2017,0.03225806,N
D16,august.2017,0,N
E05,august.2017,0,N
E07,august.2017,0,N
E09,august.2017,0,N
E11,august.2017,0,N
E13,august.2017,0,N
E15,august.2017,0,N
E17,august.2017,0,N
F04,august.2017,0,N
F06,august.2017,0,N
F08,august.2017,0,N
F10,august.2017,0,N
G09,august.2017,0,N
G11,august.2017,0,N
A03,september.2017,0,N
A13,september.2017,0,N
B02,september.2017,0,N
B04,september.2017,0,N
B06,september.2017,0.03333333,N
B08,september.2017,0,N
B10,september.2017,0,N
B12,september.2017,0,N
B14,september.2017,0,N
C03,september.2017,0.1,N
C05,september.2017,0,N
C07,september.2017,0,N
C09,september.2017,0,N
C11,september.2017,0,N
C15,september.2017,0.03333333,N
C17,september.2017,0,N
D04,september.2017,0,N
D06,september.2017,0,N
D08,september.2017,0,N
D10,september.2017,0,N
D12,september.2017,0,N
D14,september.2017,0,N
D16,september.2017,0,N
E05,september.2017,0,N
E07,september.2017,0,N
E09,september.2017,0,N
E11,september.2017,0,N
E13,september.2017,0,N
E15,september.2017,0,N
E17,september.2017,0,N
F04,september.2017,0.03333333,N
F06,september.2017,0,N
F08,september.2017,0,N
F10,september.2017,0,N
G09,september.2017,0,N
G11,september.2017,0,N
A03,october.2017,0,N
A13,october.2017,0.03225806,N
B02,october.2017,0.03225806,N
B04,october.2017,0,N
B06,october.2017,0.03225806,N
B08,october.2017,0,N
B10,october.2017,0,N
B12,october.2017,0,N
B14,october.2017,0.03225806,N
C03,october.2017,0.03225806,N
C05,october.2017,0,N
C07,october.2017,0,N
C09,october.2017,0.03225806,N
C11,october.2017,0,N
C15,october.2017,0.06451613,N
C17,october.2017,0,N
D04,october.2017,0,N
D06,october.2017,0,N
D08,october.2017,0,N
D10,october.2017,0,N
D12,october.2017,0,N
D14,october.2017,0,N
D16,october.2017,0,N
E05,october.2017,0.03225806,N
E07,october.2017,0,N
E09,october.2017,0,N
E11,october.2017,0,N
E13,october.2017,0.03225806,N
E15,october.2017,0.09677419,N
E17,october.2017,0,N
F04,october.2017,0,N
F06,october.2017,0,N
F08,october.2017,0,N
F10,october.2017,0,N
G09,october.2017,0.06451613,N
G11,october.2017,0,N
A03,november.2017,0,N
A13,november.2017,0.03333333,N
B02,november.2017,0.06666667,N
B04,november.2017,0.03333333,N
B06,november.2017,0,N
B08,november.2017,0,N
B10,november.2017,0,N
B12,november.2017,0,N
B14,november.2017,0,N
C03,november.2017,0.06666667,N
C05,november.2017,0.03333333,N
C07,november.2017,0,N
C09,november.2017,0,N
C11,november.2017,0,N
C15,november.2017,0.06666667,N
C17,november.2017,0,N
D04,november.2017,0,N
D06,november.2017,0,N
D08,november.2017,0.03333333,N
D10,november.2017,0,N
D12,november.2017,0,N
D14,november.2017,0,N
D16,november.2017,0,N
E05,november.2017,0.06666667,N
E07,november.2017,0,N
E09,november.2017,0.03333333,N
E11,november.2017,0,N
E13,november.2017,0.03333333,N
E15,november.2017,0.03333333,N
E17,november.2017,0.03333333,N
F04,november.2017,0.03333333,N
F06,november.2017,0,N
F08,november.2017,0.03333333,N
F10,november.2017,0,N
