Camera,Month,Operation,Count,Bobcat_RAI,Sheep_RAI,Sheep,Dog_Count,Dog_RAI,Dog_RAI_Scaled,Dog,Individual_Dog,Dogs_Scaled,Fire,Season,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,road.dist.clean,elevation.clean,slope.clean,vegetation.coarser.clean
D04,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.912730575,-0.935225844,0.457609206,1.331799507,1.058595538,-0.817798018,1.350430489,-1.526544571,Chaparral
D06,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.558284223,-0.463574976,-0.566507399,-0.32513687,-0.593026459,-0.019886849,0.91482234,0.388185173,Grassland
D08,june.2016,26,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.434592605,-0.020739049,-0.369106084,-0.619850099,-0.830192268,0.529838085,0.244259447,-0.28846249,Grassland
D10,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.241972655,0.051734511,0.047610059,-0.83617425,-1.089254737,0.659296572,-0.217530221,-1.004564047,Grassland
D12,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,1.002958417,0.371602833,0.035271123,-0.709258676,-0.474934995,0.805100262,-0.745918572,-0.429488808,Grassland
D14,june.2016,30,0,0,0.3666667,Y,2,0.06666667,1.161297,Y,2,5.365251693,N,Summer,-0.512109041,0.620879948,0.584344625,0.71180594,0.917906046,0.494240791,-0.791820228,1.515193701,Woodland
D16,june.2016,23.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,0.405984551,0.232285321,0.692654729,1.400452733,1.359361529,-1.029499412,-0.723310411,-0.642665744,Grassland
E05,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.626088738,-0.638937175,-0.601334751,-0.294674069,-0.038113732,-0.703951478,1.65776968,-0.270588815,Chaparral
E07,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.757147551,-0.635078847,-0.811038494,-1.029243231,-1.199134707,2.130068302,0.827749372,-0.40242365,Woodland
E09,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.282340765,-0.642421842,-0.828790665,-1.26664865,-1.444385171,-1.167732,0.269932121,0.079320557,Grassland
E11,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,0.062600508,-0.21318908,-0.532344818,-1.050914764,-1.358942628,1.153592944,-0.340461224,1.167119503,Woodland
E13,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.938552082,-1.220218658,-1.146818042,-0.78167367,-0.448038489,-0.900257349,-0.839186609,-1.137272,Woodland
E15,june.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Summer,-0.413117498,-0.036241058,-0.162531406,0.030888617,0.146936163,-0.217955336,-0.870527864,0.144351989,Woodland
E17,june.2016,30,0,0,1.9666667,Y,7,0.23333333,4.38017,Y,2,5.365251693,N,Summer,-0.822892845,-0.906201839,-0.768712163,-0.551864445,-0.058484804,-0.208702967,-0.960982919,-0.950709164,Grassland
