Camera,Phase,Species,Detections,Latitude,Longitude,Operation,Foxlight,Sheep_Presence,RAI,Dog_RAI,Ind_Dogs,Dogs_Scaled,Elevation,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,Rugged.121,Dist.Water,Slope,Fence.Dist,hq.dist.clean,road.dist.clean,viewshed.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean
Cam06,5,LYRU,1,38.99792,-123.06911,46,FoxY,Y,0.02173913,0.02173913,1,0.3050574,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,6,LYRU,1,38.99792,-123.06911,63,FoxN,Y,0.015873016,0,0,-0.72995822,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,7,LYRU,0,38.99792,-123.06911,42,FoxY,N,0,0,0,-0.72995822,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,8,LYRU,0,38.99792,-123.06911,62,FoxN,Y,0,0,0,-0.72995822,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam06,9,LYRU,0,38.99792,-123.06911,49,FoxY,N,0,0,0,-0.72995822,-1.016091704,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,-0.965466142,-1.191148281,-0.957819462,-1.060514927,-0.944196999,1.853088498,0.311637551,-0.792937219,2.780834436
Cam07,1,LYRU,4,38.98655,-123.06876,63,FoxN,Y,0.063492063,0.3015873,2,1.34007301,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,2,LYRU,1,38.98655,-123.06876,35,FoxY,Y,0.028571429,0.02857143,1,0.3050574,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,3,LYRU,0,38.98655,-123.06876,35,FoxN,Y,0,0.05714286,3,2.37508862,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,4,LYRU,0,38.98655,-123.06876,35,FoxY,Y,0,0.2,2,1.34007301,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,5,LYRU,0,38.98655,-123.06876,25,FoxN,Y,0,0.08,2,1.34007301,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,6,LYRU,0,38.98655,-123.06876,63,FoxY,Y,0,0,0,-0.72995822,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,7,LYRU,0,38.98655,-123.06876,42,FoxN,N,0,0,0,-0.72995822,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,8,LYRU,0,38.98655,-123.06876,62,FoxY,N,0,0,0,-0.72995822,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam07,9,LYRU,0,38.98655,-123.06876,49,FoxN,Y,0,0.24489796,3,2.37508862,-1.043511271,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,-0.881544232,-1.293647528,-0.991620541,-0.308859766,-1.128043175,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam08,1,LYRU,3,38.99002,-123.06616,34,FoxY,Y,0.088235294,0.32352941,3,2.37508862,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam08,2,LYRU,0,38.99002,-123.06616,35,FoxN,N,0,0.02857143,1,0.3050574,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam08,3,LYRU,1,38.99002,-123.06616,35,FoxY,Y,0.028571429,0.05714286,1,0.3050574,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam08,4,LYRU,1,38.99002,-123.06616,35,FoxN,Y,0.028571429,0.22857143,3,2.37508862,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam08,5,LYRU,9,38.99002,-123.06616,95,FoxY,Y,0.094736842,0.12631579,2,1.34007301,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam08,7,LYRU,1,38.99002,-123.06616,42,FoxY,N,0.023809524,0,0,-0.72995822,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam08,8,LYRU,2,38.99002,-123.06616,62,FoxN,N,0.032258065,0,0,-0.72995822,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam08,9,LYRU,0,38.99002,-123.06616,49,FoxY,Y,0,0.12244898,2,1.34007301,-1.020259261,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,-0.730962813,-0.098656252,-1.033379793,-0.464954406,1.034303546,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam09,1,LYRU,0,39.0066,-123.0793,50,FoxN,N,0,0,0,-0.72995822,-0.757251263,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.780237377,-1.314880967,-1.034790397,-1.211073041,-0.51748538,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam09,2,LYRU,0,39.0066,-123.0793,35,FoxY,N,0,0,0,-0.72995822,-0.757251263,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.780237377,-1.314880967,-1.034790397,-1.211073041,-0.51748538,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam09,3,LYRU,1,39.0066,-123.0793,35,FoxN,N,0.028571429,0,0,-0.72995822,-0.757251263,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.780237377,-1.314880967,-1.034790397,-1.211073041,-0.51748538,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam09,4,LYRU,0,39.0066,-123.0793,35,FoxY,Y,0,0.02857143,1,0.3050574,-0.757251263,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.780237377,-1.314880967,-1.034790397,-1.211073041,-0.51748538,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam09,5,LYRU,0,39.0066,-123.0793,27,FoxN,Y,0,0,0,-0.72995822,-0.757251263,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.780237377,-1.314880967,-1.034790397,-1.211073041,-0.51748538,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam09,8,LYRU,2,39.0066,-123.0793,37,FoxY,Y,0.054054054,0.10810811,2,1.34007301,-0.757251263,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.780237377,-1.314880967,-1.034790397,-1.211073041,-0.51748538,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam09,9,LYRU,4,39.0066,-123.0793,41,FoxN,N,0.097560976,0,0,-0.72995822,-0.757251263,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.780237377,-1.314880967,-1.034790397,-1.211073041,-0.51748538,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam10,1,LYRU,1,39.0065,-123.0838,50,FoxY,N,0.02,0,0,-0.72995822,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,2,LYRU,0,39.0065,-123.0838,35,FoxN,N,0,0,0,-0.72995822,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,3,LYRU,1,39.0065,-123.0838,35,FoxY,N,0.028571429,0,0,-0.72995822,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,4,LYRU,1,39.0065,-123.0838,35,FoxN,Y,0.028571429,0.02857143,1,0.3050574,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,5,LYRU,0,39.0065,-123.0838,95,FoxY,Y,0,0,0,-0.72995822,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,6,LYRU,7,39.0065,-123.0838,63,FoxN,Y,0.111111111,0.01587302,1,0.3050574,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,7,LYRU,2,39.0065,-123.0838,42,FoxY,N,0.047619048,0,0,-0.72995822,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,8,LYRU,0,39.0065,-123.0838,62,FoxN,Y,0,0,0,-0.72995822,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam10,9,LYRU,0,39.0065,-123.0838,49,FoxY,N,0,0,0,-0.72995822,-0.865749836,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,-0.920652509,0.180552483,-0.974115968,-1.361760855,-0.506706774,0.510068119,0.212194249,-0.431076139,0.828452468
Cam11,1,LYRU,10,38.9927,-123.0757,49,FoxN,N,0.204081633,0.02040816,1,0.3050574,-0.55693382,1.529825807,1.889228106,1.460929036,1.511058569,1.160261631,-0.710944235,-1.472450733,-0.858971715,-1.052029729,-0.246940434,-0.316720128,0.820035994,-0.245639041,0.335623741
Cam11,2,LYRU,0,38.9927,-123.0757,16,FoxY,Y,0,0.25,2,1.34007301,-0.55693382,1.529825807,1.889228106,1.460929036,1.511058569,1.160261631,-0.710944235,-1.472450733,-0.858971715,-1.052029729,-0.246940434,-0.316720128,0.820035994,-0.245639041,0.335623741
Cam11,3,LYRU,1,38.9927,-123.0757,35,FoxN,N,0.028571429,0,0,-0.72995822,-0.55693382,1.529825807,1.889228106,1.460929036,1.511058569,1.160261631,-0.710944235,-1.472450733,-0.858971715,-1.052029729,-0.246940434,-0.316720128,0.820035994,-0.245639041,0.335623741
Cam11,4,LYRU,2,38.9927,-123.0757,35,FoxY,Y,0.057142857,0.11428571,2,1.34007301,-0.55693382,1.529825807,1.889228106,1.460929036,1.511058569,1.160261631,-0.710944235,-1.472450733,-0.858971715,-1.052029729,-0.246940434,-0.316720128,0.820035994,-0.245639041,0.335623741
Cam11,7,LYRU,0,38.9927,-123.0757,42,FoxN,N,0,0,0,-0.72995822,-0.55693382,1.529825807,1.889228106,1.460929036,1.511058569,1.160261631,-0.710944235,-1.472450733,-0.858971715,-1.052029729,-0.246940434,-0.316720128,0.820035994,-0.245639041,0.335623741
Cam11,8,LYRU,0,38.9927,-123.0757,62,FoxY,N,0,0,0,-0.72995822,-0.55693382,1.529825807,1.889228106,1.460929036,1.511058569,1.160261631,-0.710944235,-1.472450733,-0.858971715,-1.052029729,-0.246940434,-0.316720128,0.820035994,-0.245639041,0.335623741
